iter	Passed	Remaining
405	7504	7984
406	7521	7965
407	7539	7945
408	7563	7933
409	7587	7921
410	7623	7919
411	7655	7915
412	7688	7912
413	7717	7904
414	7757	7907
415	7792	7905
416	7827	7902
417	7867	7904
418	7898	7898
419	7932	7895
420	7950	7875
421	7968	7854
422	7987	7836
423	8004	7815
424	8022	7795
425	8039	7775
426	8057	7755
427	8075	7735
428	8092	7715
429	8112	7697
430	8144	7690
431	8168	7677
432	8186	7657
433	8204	7637
434	8221	7616
435	8239	7597
436	8257	7577
437	8275	7557
438	8292	7537
439	8310	7517
440	8327	7496
441	8345	7476
442	8362	7456
443	8380	7436
444	8398	7416
445	8415	7396
446	8433	7376
447	8450	7356
448	8468	7336
449	8486	7317
450	8504	7297
451	8521	7277
452	8539	7257
453	8557	7237
454	8574	7217
455	8592	7198
456	8610	7178
457	8628	7159
458	8650	7142
459	8669	7123
460	8686	7104
461	8705	7084
462	8722	7064
463	8740	7045
464	8758	7025
465	8775	7005
466	8793	6985
467	8811	6965
468	8828	6946
469	8846	6926
470	8864	6907
471	8882	6887
472	8900	6867
473	8917	6848
474	8935	6828
475	8953	6808
476	8970	6788
477	8989	6770
478	9006	6750
479	9024	6730
480	9041	6710
481	9059	6691
482	9077	6671
483	9094	6652
484	9112	6632
485	9130	6613
486	9148	6593
487	9166	6573
488	9183	6554
489	9201	6534
490	9219	6515
491	9236	6495
492	9253	6475
493	9271	6456
494	9289	6436
495	9307	6417
496	9324	6398
497	9342	6378
498	9360	6358
499	9377	6339
500	9395	6320
501	9413	6300
502	9431	6281
503	9448	6261
504	9466	6242
505	9484	6223
506	9502	6203
507	9520	6184
508	9537	6164
509	9554	6145
510	9572	6125
511	9589	6106
512	9608	6087
513	9626	6067
514	9644	6048
515	9667	6032
516	9685	6013
517	9703	5994
518	9720	5974
519	9738	5955
520	9756	5936
521	9774	5916
522	9791	5897
523	9808	5877
524	9826	5858
525	9844	5839
526	9863	5820
527	9880	5801
528	9898	5782
529	9916	5762
530	9934	5743
531	9951	5724
532	9969	5704
533	9987	5686
534	10005	5666
535	10023	5647
536	10040	5628
537	10058	5608
538	10076	5589
539	10094	5570
540	10111	5551
541	10129	5531
542	10149	5513
543	10170	5496
544	10197	5482
545	10218	5464
546	10235	5445
547	10253	5426
548	10271	5406
549	10288	5387
550	10306	5368
551	10324	5349
552	10341	5329
553	10359	5310
554	10377	5291
555	10394	5272
556	10412	5252
557	10430	5233
558	10447	5214
559	10465	5195
560	10484	5176
561	10502	5157
562	10519	5138
563	10537	5119
564	10555	5100
565	10573	5081
566	10590	5061
567	10608	5042
568	10626	5023
569	10644	5004
570	10668	4988
571	10686	4969
572	10703	4950
573	10721	4931
574	10739	4911
575	10756	4892
576	10774	4873
577	10791	4854
578	10809	4835
579	10826	4816
580	10844	4796
581	10862	4777
582	10879	4758
583	10897	4739
584	10914	4720
585	10932	4701
586	10950	4682
587	10967	4663
588	10985	4644
589	11003	4625
590	11020	4605
591	11038	4586
592	11055	4567
593	11074	4548
594	11091	4529
595	11109	4510
596	11126	4491
597	11144	4472
598	11162	4453
599	11180	4434
600	11197	4415
601	11216	4397
602	11234	4378
603	11251	4359
604	11269	4340
605	11287	4321
606	11304	4302
607	11322	4283
608	11340	4264
609	11357	4245
610	11375	4226
611	11395	4208
612	11416	4190
613	11433	4171
614	11453	4153
615	11483	4138
616	11511	4123
617	11536	4106
618	11554	4087
619	11571	4068
620	11589	4049
621	11607	4030
622	11624	4011
623	11642	3992
624	11665	3975
625	11690	3959
626	11715	3942
627	11733	3923
628	11750	3904
629	11768	3885
630	11785	3866
631	11803	3847
632	11820	3828
633	11838	3809
634	11855	3790
635	11885	3774
636	11918	3760
637	11935	3741
638	11953	3722
639	11971	3703
640	11989	3684
641	12008	3666
642	12025	3647
643	12043	3628
644	12061	3609
645	12078	3589
646	12096	3570
647	12114	3551
648	12131	3532
649	12149	3514
650	12167	3495
651	12184	3476
652	12206	3458
653	12233	3441
654	12256	3424
655	12274	3405
656	12291	3386
657	12309	3367
658	12327	3348
659	12344	3329
660	12363	3310
661	12380	3291
662	12397	3272
663	12415	3253
664	12432	3234
665	12450	3215
666	12467	3196
667	12485	3177
668	12503	3158
669	12521	3139
670	12539	3120
671	12556	3101
672	12574	3082
673	12592	3064
674	12609	3045
675	12627	3026
676	12645	3007
677	12668	2989
678	12687	2970
679	12704	2951
680	12722	2933
681	12739	2914
682	12757	2895
683	12775	2876
684	12805	2860
685	12836	2844
686	12868	2828
687	12896	2811
688	12935	2797
689	12963	2780
690	12988	2763
691	13006	2744
692	13024	2725
693	13042	2706
694	13059	2687
695	13077	2668
696	13095	2649
697	13112	2630
698	13130	2611
699	13147	2592
700	13165	2573
701	13183	2554
702	13201	2535
703	13218	2516
704	13236	2497
705	13254	2478
706	13271	2459
707	13289	2440
708	13307	2421
709	13325	2402
710	13350	2384
711	13368	2365
712	13385	2346
713	13403	2327
714	13420	2308
715	13438	2289
716	13455	2270
717	13473	2251
718	13491	2232
719	13508	2213
720	13527	2195
721	13544	2176
722	13562	2157
723	13580	2138
724	13585	2117
725	13602	2098
726	13620	2079
727	13638	2060
728	13656	2041
729	13679	2023
730	13697	2004
731	13717	1986
732	13734	1967
733	13752	1948
734	13769	1929
735	13786	1910
736	13804	1891
737	13821	1872
738	13839	1853
739	13857	1835
740	13874	1816
741	13892	1797
742	13910	1778
743	13928	1759
744	13945	1740
745	13962	1721
746	13980	1703
747	13998	1684
748	14015	1665
749	14034	1646
750	14040	1626
751	14057	1607
752	14075	1588
753	14092	1570
754	14110	1551
755	14128	1532
756	14145	1513
757	14162	1494
758	14180	1475
759	14198	1457
760	14215	1438
761	14235	1419
762	14257	1401
763	14287	1383
764	14305	1365
765	14322	1346
766	14341	1327
767	14358	1308
768	14376	1289
769	14393	1271
770	14411	1252
771	14428	1233
772	14446	1214
773	14463	1195
774	14481	1177
775	14499	1158
776	14516	1139
777	14535	1120
778	14552	1102
779	14570	1083
780	14588	1064
781	14605	1045
782	14623	1027
783	14640	1008
784	14658	989
785	14681	971
786	14699	952
787	14717	933
788	14734	915
789	14752	896
790	14769	877
791	14787	858
792	14805	840
793	14822	821
794	14839	802
795	14857	783
796	14875	765
797	14892	746
798	14910	727
799	14928	709
800	14945	690
801	14963	671
802	14981	652
803	14998	634
804	15016	615
805	15034	596
806	15051	578
807	15069	559
808	15087	540
809	15105	522
810	15122	503
811	15140	484
812	15158	466
813	15175	447
814	15193	428
815	15211	410
816	15228	391
817	15246	372
818	15263	354
819	15281	335
820	15299	316
821	15316	298
822	15335	279
823	15352	260
824	15370	242
825	15387	223
826	15405	204
827	15423	186
828	15441	167
829	15459	149
830	15476	130
831	15494	111
832	15512	93
833	15530	74
834	15548	55
835	15566	37
836	15584	18
837	15602	0
