iter	RMSE
0	99.18161757
1	95.61325579
2	93.21990159
3	90.99781119
4	89.21609654
5	87.78326152
6	86.50699212
7	85.40634488
8	84.37229486
9	83.19496498
10	82.48514042
11	81.72661403
12	80.90585078
13	80.30342695
14	79.63169876
15	79.22415081
16	78.58026989
17	77.62992458
18	77.18668478
19	76.53502817
20	75.71126954
21	75.13542899
22	74.64591619
23	74.23225286
24	73.96734023
25	73.51904509
26	73.08439773
27	72.47021363
28	72.15292767
29	71.36050063
30	70.98371735
31	70.49720189
32	70.13120037
33	69.8029439
34	69.52918136
35	69.10132756
36	68.59726976
37	68.36793982
38	67.99134896
39	67.57705267
40	67.12671147
41	66.7146786
42	66.56009648
43	66.25433232
44	66.0525338
45	65.74365271
46	65.48324016
47	64.81892013
48	64.46521998
49	64.12637038
50	63.86959871
51	63.55291813
52	63.33634201
53	63.07376177
54	62.78866634
55	62.59756737
56	62.27823353
57	61.91948704
58	61.57597036
59	61.38406096
60	61.09664729
61	60.74410442
62	60.39003001
63	59.99136588
64	59.8447137
65	59.51118629
66	59.24543317
67	58.89932226
68	58.58320236
69	58.35380353
70	58.18711757
71	57.84723458
72	57.51078463
73	57.17026087
74	56.95075287
75	56.79883884
76	56.55549398
77	56.20926495
78	55.97540139
79	55.81228841
80	55.60101524
81	55.34044357
82	55.1515279
83	54.97086457
84	54.79131167
85	54.55629195
86	54.31670001
87	54.09527858
88	53.97686288
89	53.77225095
90	53.56035994
91	53.34375807
92	53.08371552
93	52.82324078
94	52.65573459
95	52.43658399
96	52.25780573
97	52.08659549
98	51.8849332
99	51.78575576
100	51.61863139
101	51.41000256
102	51.2887883
103	51.026871
104	50.77363464
105	50.58835388
106	50.33697583
107	50.0996382
108	49.80486138
109	49.64578767
110	49.48860921
111	49.32335532
112	49.10517204
113	48.84795905
114	48.69872456
115	48.45439677
116	48.27958785
117	48.08927233
118	47.98732521
119	47.80120623
120	47.55912233
121	47.35681352
122	47.10987115
123	46.86291024
124	46.61150884
125	46.41217323
126	46.28459673
127	46.15513184
128	46.03987188
129	45.88218297
130	45.74732723
131	45.59240008
132	45.4646104
133	45.33504871
134	45.18066922
135	45.05896287
136	44.91911914
137	44.82724333
138	44.72104936
139	44.59550514
140	44.44963375
141	44.29236871
142	44.17877862
143	43.99334918
144	43.87875932
145	43.67890356
146	43.55408774
147	43.40478142
148	43.22444579
149	43.13384194
150	42.95527114
151	42.77539756
152	42.63585555
153	42.47588175
154	42.37646867
155	42.25885737
156	42.14477627
157	42.04952109
158	41.9758113
159	41.86761125
160	41.75002307
161	41.56110812
162	41.45951847
163	41.27002972
164	41.07993809
165	40.89757514
166	40.83263569
167	40.69826023
168	40.56872942
169	40.44288775
170	40.32955409
171	40.22860746
172	40.13796946
173	40.00034108
174	39.8237713
175	39.59150863
176	39.51032837
177	39.38228393
178	39.24801036
179	39.13886951
180	39.02446902
181	38.87782342
182	38.75821142
183	38.62080748
184	38.50360364
185	38.41668326
186	38.27729292
187	38.18217551
188	38.08716588
189	38.00301087
190	37.8639912
191	37.77698716
192	37.6631872
193	37.55992173
194	37.41978402
195	37.31878832
196	37.17519322
197	37.06152757
198	36.94883857
199	36.8204779
200	36.76459161
201	36.66773081
202	36.56788848
203	36.45670032
204	36.33206475
205	36.19316018
206	36.12218074
207	36.02071146
208	35.88732577
209	35.79767205
210	35.68698869
211	35.59602212
212	35.51075159
213	35.3636321
214	35.3034809
215	35.1170728
216	35.01551728
217	34.93791159
218	34.82287157
219	34.72746578
220	34.61481822
221	34.4814405
222	34.38409973
223	34.27860943
224	34.2050461
225	34.13224943
226	34.07200089
227	33.9463597
228	33.87981036
229	33.83914728
230	33.76096566
231	33.67264623
232	33.58067695
233	33.45414124
234	33.36827902
235	33.27458932
236	33.21857472
237	33.1179944
238	33.04110833
239	32.95164321
240	32.84042804
241	32.76976818
242	32.6927957
243	32.61926458
244	32.54635301
245	32.46161736
246	32.37121216
247	32.31954467
248	32.20954283
249	32.08214391
250	32.01824244
251	31.95675051
252	31.833045
253	31.74443652
254	31.67253514
255	31.59123671
256	31.5165157
257	31.48572995
258	31.42353678
259	31.34806981
260	31.27714344
261	31.19527868
262	31.13902286
263	31.0882008
264	30.99258697
265	30.93792774
266	30.88081268
267	30.82714843
268	30.76272399
269	30.68592415
270	30.59291241
271	30.51504384
272	30.43149818
273	30.37306065
274	30.3273028
275	30.29389162
276	30.22189483
277	30.12382507
278	30.03964819
279	29.91746249
280	29.87337165
281	29.81819719
282	29.76090297
283	29.70429655
284	29.65493693
285	29.572848
286	29.51536246
287	29.40270666
288	29.32182974
289	29.25597511
290	29.19991748
291	29.12285328
292	29.03679612
293	28.98851393
294	28.92976868
295	28.85300316
296	28.78907523
297	28.74177973
298	28.64945518
299	28.59568141
300	28.53069498
301	28.48572569
302	28.41505405
303	28.33548867
304	28.26426278
305	28.18068677
306	28.10938148
307	28.05982952
308	27.98820101
309	27.92081164
310	27.86413342
311	27.76335946
312	27.69766162
313	27.63725054
314	27.56320885
315	27.48860449
316	27.43160811
317	27.36845959
318	27.32070003
319	27.24116962
320	27.19630876
321	27.11784949
322	27.06497066
323	27.01214248
324	26.9767589
325	26.92545779
326	26.87528441
327	26.80874948
328	26.7461281
329	26.71168851
330	26.65111589
331	26.61921012
332	26.5578836
333	26.48740979
334	26.4128773
335	26.36399108
336	26.30531877
337	26.22375191
338	26.12071803
339	26.05129502
340	25.98089674
341	25.930141
342	25.86975969
343	25.79973045
344	25.74114012
345	25.70356212
346	25.64257274
347	25.57576141
348	25.51525721
349	25.48181985
350	25.4264202
351	25.39263945
352	25.31474641
353	25.28461204
354	25.2475928
355	25.19522157
356	25.15013771
357	25.11010916
358	25.06101213
359	24.99908479
360	24.94425911
361	24.91329259
362	24.83531716
363	24.80589795
364	24.77253798
365	24.69429963
366	24.64336247
367	24.60721979
368	24.57320205
369	24.5146045
370	24.48564722
371	24.44619041
372	24.38910559
373	24.35119853
374	24.29202287
375	24.24889187
376	24.21066581
377	24.14403248
378	24.10521266
379	24.05771157
380	24.00648256
381	23.96292469
382	23.91748387
383	23.86460796
384	23.8385752
385	23.76264204
386	23.71710528
387	23.6652714
388	23.63315277
389	23.57943095
390	23.49854289
391	23.45977527
392	23.40195955
393	23.33374621
394	23.29990518
395	23.26375182
396	23.22438789
397	23.18146833
398	23.11303406
399	23.05803366
400	23.02992522
401	22.99265425
402	22.94354762
403	22.89666909
404	22.86180273
405	22.80309116
406	22.75224436
407	22.71182677
408	22.6856248
409	22.61797131
410	22.5911457
411	22.56379336
412	22.540968
413	22.49121963
414	22.46084209
415	22.42727458
416	22.37371951
417	22.30768009
418	22.25258014
419	22.18232754
420	22.13658817
421	22.08593644
422	22.01921288
423	21.97227811
424	21.94089672
425	21.90934379
426	21.86105572
427	21.81984342
428	21.79492766
429	21.76313295
430	21.69606963
431	21.63964686
432	21.60996901
433	21.56252695
434	21.52126122
435	21.47715871
436	21.42292015
437	21.38463713
438	21.34701132
439	21.31095397
440	21.27421686
441	21.22473035
442	21.19742489
443	21.16965381
444	21.13862666
445	21.1032741
446	21.06267971
447	21.03492587
448	20.98884506
449	20.95344594
450	20.91930574
451	20.88205188
452	20.8431922
453	20.78826393
454	20.74437523
455	20.68870385
456	20.64706721
457	20.62727028
458	20.60036271
459	20.56792948
460	20.53824768
461	20.46537927
462	20.42822709
463	20.39090946
464	20.35330687
465	20.33042261
466	20.30923291
467	20.28293518
468	20.23985209
469	20.20030031
470	20.17504793
471	20.14647866
472	20.10765774
473	20.07484425
474	20.02666694
475	19.99223677
476	19.97327265
477	19.91938797
478	19.88756054
479	19.84674651
480	19.81165013
481	19.77565728
482	19.77297609
483	19.74386369
484	19.72767384
485	19.69108615
486	19.65763739
487	19.61995896
488	19.60934282
489	19.58322696
490	19.5445612
491	19.52922331
492	19.52282108
493	19.50505809
494	19.46309851
495	19.42076246
496	19.37595024
497	19.34882339
498	19.32487443
499	19.29534441
500	19.26539019
501	19.24496334
502	19.2051957
503	19.17332852
504	19.15545996
505	19.12216422
506	19.09441213
507	19.07289732
508	19.04051016
509	19.00332361
510	18.97012611
511	18.93362868
512	18.89438077
513	18.86701891
514	18.84874667
515	18.7951865
516	18.74491279
517	18.70857435
518	18.66844918
519	18.628633
520	18.59964805
521	18.56768269
522	18.54509438
523	18.50974669
524	18.49341741
525	18.45454604
526	18.44358607
527	18.40676043
528	18.37419159
529	18.34102661
530	18.30596233
531	18.28311951
532	18.25664565
533	18.21770889
534	18.18311597
535	18.14136524
536	18.09458187
537	18.07353645
538	18.0432278
539	18.01599869
540	17.98911911
541	17.95494238
542	17.92706514
543	17.89944029
544	17.86341762
545	17.84851332
546	17.8220631
547	17.79885937
548	17.78139087
549	17.76118346
550	17.73095611
551	17.70166541
552	17.66872186
553	17.64295957
554	17.6240292
555	17.58674536
556	17.56000196
557	17.53148145
558	17.49515334
559	17.42715257
560	17.39822046
561	17.34652233
562	17.3223407
563	17.3056147
564	17.28563544
565	17.2357551
566	17.21478288
567	17.20386539
568	17.16820559
569	17.1370941
570	17.11023574
571	17.08080803
572	17.05899839
573	17.03707291
574	17.01239162
575	16.98423763
576	16.96065924
577	16.93121823
578	16.90413105
579	16.87201696
580	16.8155841
581	16.77325164
582	16.75226992
583	16.73112586
