input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-04-05 04:00:00+00:00,177.0,14.4,12.29,28.52,1
2021-04-06 04:00:00+00:00,0.0,0.0,,7.37,1
2021-04-07 04:00:00+00:00,342.0,24.3,14.07,44.97,1
2021-04-08 04:00:00+00:00,150.0,11.8,12.71,19.33,1
2021-04-09 04:00:00+00:00,95.0,6.9,13.77,18.91,1
2021-04-10 04:00:00+00:00,325.0,24.0,13.54,41.35,1
2021-04-11 04:00:00+00:00,114.0,8.9,12.81,17.02,1
2021-04-12 04:00:00+00:00,224.0,15.1,14.83,40.14,1
2021-04-13 04:00:00+00:00,0.0,0.0,,7.5,1
2021-04-14 04:00:00+00:00,232.0,19.3,12.02,30.53,1
2021-04-15 04:00:00+00:00,46.0,3.1,14.84,13.21,1
2021-04-16 04:00:00+00:00,274.0,20.8,13.17,42.69,1
2021-04-17 03:00:00+00:00,236.0,18.7,12.62,35.96,1
2021-04-18 04:00:00+00:00,309.0,24.0,12.88,42.59,1
2021-04-19 04:00:00+00:00,67.0,5.6,11.96,15.05,1
2021-04-20 04:00:00+00:00,0.0,0.0,,7.74,1
2021-04-21 04:00:00+00:00,0.0,0.0,,7.55,1
2021-04-22 04:00:00+00:00,0.0,0.0,,7.1,1
2021-04-23 04:00:00+00:00,0.0,0.0,,7.23,1
2021-04-24 04:00:00+00:00,0.0,0.0,,7.15,1
2021-04-25 04:00:00+00:00,0.0,0.0,,7.52,1
2021-04-26 04:00:00+00:00,35.0,4.9,7.14,12.02,1
2021-04-27 04:00:00+00:00,166.0,11.9,13.95,27.03,1
2021-04-28 04:00:00+00:00,313.0,24.0,13.04,40.52,1
2021-04-29 04:00:00+00:00,27.0,3.4,7.94,10.84,1
2021-04-30 04:00:00+00:00,42.0,4.2,10.0,15.24,1
2021-05-01 04:00:00+00:00,400.0,24.0,16.67,76.23,1
2021-05-02 04:00:00+00:00,84.0,7.0,12.0,15.49,1
2021-05-03 04:00:00+00:00,265.0,20.6,12.86,43.82,1
2021-05-04 04:00:00+00:00,170.0,12.8,13.28,32.33,1
2021-05-05 04:00:00+00:00,148.0,11.2,13.21,25.82,1
2021-05-06 03:00:00+00:00,297.0,23.0,12.91,36.95,1
2021-05-07 04:00:00+00:00,264.0,22.7,11.63,41.82,1
2021-05-08 04:00:00+00:00,157.9,13.0,12.15,28.96,1
2021-05-09 04:00:00+00:00,0.0,0.0,,7.75,1
