,SOG,heading,draught,wind_val,wind_direction,wave_val,wave_direction,stream_val,stream_direction,R_added
87,14.499999999999998,29.666666666666668,14.0,7.31,59.0,0.85,31.0,0.1899999999999999,175.0,261.9222100399676
88,14.54,28.0,14.0,7.51,61.0,0.85,34.0,0.41,192.0,165.06833720694954
89,14.375,24.875,14.0,7.25,57.375,0.85,33.0,0.4625,188.125,178.6131516328362
90,13.74,25.6,14.0,7.174000000000001,56.4,0.8539999999999999,32.6,0.504,190.8,284.2968936447568
91,14.133333333333336,24.83333333333333,14.0,7.285,54.0,0.855,34.0,0.5700000000000001,196.0,180.09502600890266
93,14.266666666666667,23.666666666666668,14.0,7.048333333333333,40.5,0.86,35.0,0.4866666666666666,189.5,188.6426178000796
95,13.9,24.33333333333333,14.0,6.32,30.0,0.85,34.0,0.1799999999999999,279.0,417.2885494417064
96,14.225,25.0,14.0,5.59,16.0,1.59,34.5,0.485,344.5,510.6226540491333
97,13.6,22.0,9.5,5.86,119.0,0.94,127.0,0.16,10.0,196.48153647464852
98,15.183333333333332,28.0,9.5,4.355,135.5,0.6150000000000001,157.5,1.025,35.5,211.22348027658583
99,14.7,53.7,9.5,3.73,154.8,0.43,170.0,1.372,53.8,410.1066118418497
100,14.000000000000002,49.61538461538461,9.5,3.4292307692307693,175.23076923076923,0.3184615384615384,164.46153846153845,1.2215384615384617,76.3076923076923,436.7005036827122
101,14.824999999999998,49.833333333333336,9.5,4.015833333333333,188.25,0.2891666666666665,152.25,0.7766666666666665,61.583333333333336,187.93492869041256
102,15.315384615384618,31.307692307692307,9.5,7.224615384615384,222.0,0.5884615384615384,218.46153846153845,0.9646153846153848,51.38461538461539,153.22015980559672
103,15.263636363636362,31.27272727272728,9.5,7.512727272727273,217.8181818181818,0.6390909090909092,209.0909090909091,0.9845454545454544,48.36363636363637,173.30100598239164
104,15.092307692307692,36.38461538461539,9.5,7.730000000000002,216.0,0.7,198.0,1.07,50.0,234.21952921436343
105,16.766666666666666,289.0,14.1,6.71,273.0,1.95,229.0,0.33,96.0,284.5917774204097
108,16.833333333333332,290.1666666666667,14.1,6.381666666666667,273.5,2.0900000000000003,236.8333333333333,0.2366666666666666,88.16666666666667,315.59344219695595
109,16.65,290.5,14.1,6.44375,270.25,2.1775,236.0,0.1937499999999999,97.25,372.8952415425933
110,16.88333333333333,290.0,14.1,5.82,264.6666666666667,2.2916666666666665,241.66666666666663,0.15,111.5,335.6004058645401
111,16.483333333333334,289.6666666666667,14.1,5.923333333333333,263.0,2.361666666666667,239.8333333333333,0.1533333333333333,125.33333333333331,431.2977100261057
114,16.366666666666664,290.3333333333333,14.1,6.843333333333334,255.3333333333333,2.57,238.66666666666663,0.1866666666666666,140.66666666666666,452.8331303446212
115,16.26666666666667,287.6666666666667,14.1,7.29,263.0,2.72,240.66666666666663,0.1033333333333333,142.33333333333334,511.843403370053
116,16.333333333333332,287.0,14.1,7.536666666666666,262.3333333333333,2.7566666666666664,241.66666666666663,0.1133333333333333,150.0,496.97376265643584
117,16.466666666666665,290.6666666666667,14.1,7.893333333333333,255.0,2.7533333333333334,243.0,0.1133333333333333,147.0,461.3398130271492
119,16.419999999999998,290.6,14.1,8.58,254.0,2.84,245.0,0.22,154.0,440.7204825013016
120,16.599999999999998,288.6666666666667,14.1,8.82,262.0,2.91,246.0,0.2,53.0,419.6600048354278
121,16.38,289.8,14.1,9.38,256.0,3.0,247.0,0.18,122.0,442.7971696192901
122,16.3,290.6666666666667,14.1,9.426666666666666,254.66666666666663,3.013333333333333,247.0,0.1933333333333333,80.0,466.3114233465956
123,16.3,287.0,14.1,9.68,249.0,3.18,248.0,0.15,103.0,474.0251407087165
124,15.625,132.25,10.1,3.10875,111.875,0.0,0.0,0.0,0.0,139.9847162632011
126,15.375,76.0,13.3,9.23,191.0,1.59,293.0,0.31,82.0,430.6666366759442
127,15.35,76.0,13.3,10.065,195.5,1.72,210.5,0.14,117.5,355.2818815406241
128,15.125,76.0,13.3,9.83375,196.625,1.71,216.625,0.1525,91.625,417.69058275251416
129,15.6,76.0,13.3,9.73,196.2,1.7100000000000002,237.6,0.16,71.0,326.0010608563874
130,15.733333333333333,76.0,13.300000000000002,10.5,199.66666666666663,1.8500000000000003,202.0,0.1399999999999999,64.33333333333333,290.13256899480655
131,15.975,77.5,13.3,10.53,198.5,1.865,204.0,0.14,77.5,242.2176702003184
132,15.9,77.0,13.3,10.490000000000002,197.0,1.855,211.5,0.15,73.0,261.2562250784148
133,16.259999999999998,77.4,13.3,12.882,195.6,2.062,201.4,0.1079999999999999,49.4,166.04806059851205
134,15.757142857142858,74.57142857142857,13.3,13.11,196.1428571428572,2.087142857142857,198.28571428571428,0.1328571428571428,71.85714285714286,283.5664341467484
135,15.325,78.0,13.3,12.88,197.75,2.06,193.5,0.155,89.75,378.92753080232217
137,15.5,82.0,13.3,14.045,206.0,2.28,210.0,0.215,20.0,323.2299498742875
138,16.083333333333332,81.5,13.3,13.926666666666668,206.66666666666663,2.233333333333333,212.0,0.3333333333333334,185.16666666666663,132.3604991533491
139,15.7,79.75,13.3,15.56,215.5,2.64,221.0,0.285,11.5,284.4716383460111
140,15.62,80.4,13.3,15.439999999999998,216.0,2.572,217.6,0.2299999999999999,9.4,288.5830544888785
142,15.45,76.25,13.3,15.585,225.0,2.85,231.75,0.2325,74.25,385.3803298741354
143,15.775,77.0,13.3,16.16,224.25,2.85,230.25,0.2299999999999999,66.75,316.8843795943013
144,15.75,77.5,13.3,16.11,223.0,2.74,230.0,0.23,67.0,321.89179831753347
145,15.933333333333332,77.66666666666667,13.300000000000002,14.933333333333332,232.66666666666663,3.09,241.66666666666663,0.21,72.66666666666667,277.989676755038
146,15.36,78.2,13.3,15.128,232.0,2.99,241.0,0.136,97.2,362.6377810927564
147,14.983333333333333,78.0,13.3,15.465000000000002,232.0,2.971666666666667,241.0,0.16,165.16666666666666,391.5546938296772
148,14.919999999999998,77.6,13.3,13.822,234.0,3.3120000000000003,250.0,0.1679999999999999,355.4,410.3320506067228
149,15.3,83.0,13.300000000000002,4.06,297.0,2.98,278.0,0.21,114.0,347.5806052875223
150,15.744444444444444,83.0,13.3,3.55,307.0,3.0166666666666666,277.3333333333333,0.1466666666666666,63.0,242.164133911195
151,14.775,90.25,13.3,3.0625,74.75,2.625,278.0,0.1,199.5,369.8008880823117
152,14.733333333333333,89.33333333333333,13.3,3.1733333333333333,70.66666666666667,2.6566666666666667,278.8333333333333,0.105,190.66666666666663,382.9313895072905
154,15.0125,89.0,13.3,2.9625000000000004,86.0,2.4750000000000005,279.25,0.0925,201.5,321.2793912304036
155,15.066666666666668,89.0,13.3,3.06,90.0,2.5,280.0,0.09,187.5,319.03205794312134
158,15.4,88.875,13.3,2.2075,74.25,2.4125,284.0,0.2375,139.25,316.4232651292218
159,15.475,87.0,13.3,1.765,96.5,2.2875,285.625,0.24375,163.75,264.18620217617695
160,15.4,88.5,13.3,0.8425,76.0,2.3149999999999995,285.0,0.2199999999999999,178.75,257.0908969475047
162,15.225,89.0,13.3,2.22,53.5,2.185,287.0,0.12,223.0,260.0539645282603
163,15.4,89.0,13.3,2.45,43.0,2.21,287.0,0.08,190.0,251.52985992046132
164,15.4,89.0,13.3,2.813333333333333,28.666666666666668,2.236666666666667,288.0,0.1233333333333333,146.0,283.5939512592863
166,15.171428571428567,91.0,13.3,2.085714285714286,31.857142857142858,2.1785714285714284,295.57142857142856,0.0571428571428571,114.42857142857144,323.6472113626621
167,15.533333333333331,91.33333333333331,13.300000000000002,2.22,32.666666666666664,2.22,297.6666666666667,0.0433333333333333,126.33333333333331,244.6012683038016
168,15.475,90.0,13.3,2.1475000000000004,137.5,2.155,309.0,0.06,242.5,221.781416520266
169,15.075,98.0,13.3,5.1000000000000005,206.0,1.8375,321.25,0.1075,124.25,229.0946056699256
170,14.954545454545457,97.9090909090909,13.3,4.748181818181818,206.9090909090909,1.8681818181818184,321.45454545454544,0.1563636363636363,143.54545454545453,256.91999714586325
172,14.88,98.4,13.3,5.074,216.6,1.81,320.0,0.202,176.8,245.6450926984244
173,15.900000000000002,101.3,13.3,10.684,236.6,2.45,291.4,0.392,86.6,170.89677264387512
174,15.833333333333334,100.33333333333331,13.3,10.563333333333333,238.0,2.478333333333333,293.8333333333333,0.3983333333333334,86.5,186.49819861000617
175,15.699999999999998,99.91666666666669,13.300000000000002,11.416666666666666,233.66666666666663,2.4933333333333336,285.6666666666667,0.3699999999999999,94.66666666666669,205.198685425441
177,15.407142857142858,103.5,13.300000000000002,10.910714285714286,238.1428571428572,2.486428571428572,293.5,0.3107142857142856,84.42857142857143,233.38153526692065
178,15.43846153846154,103.84615384615384,13.300000000000002,11.503846153846151,233.15384615384616,2.524615384615385,286.46153846153845,0.3138461538461538,80.76923076923077,225.57243501933945
180,15.414285714285716,105.57142857142856,13.3,11.385714285714286,233.42857142857144,2.575714285714286,289.85714285714283,0.3785714285714285,99.42857142857144,262.6716399792381
181,15.322222222222225,105.33333333333331,13.3,12.124444444444444,239.11111111111111,2.5966666666666667,286.1111111111111,0.3622222222222222,94.44444444444444,272.5276302341972
182,15.709090909090913,106.63636363636364,13.3,11.85,240.0,2.6045454545454545,289.45454545454544,0.3945454545454545,101.27272727272728,212.521642879095
183,15.77777777777778,107.11111111111111,13.3,11.844444444444443,240.88888888888889,2.62,292.22222222222223,0.3655555555555556,113.33333333333331,188.43388019300903
184,15.483333333333334,105.66666666666669,13.3,12.213333333333331,241.0,2.6633333333333327,288.6666666666667,0.2666666666666666,115.33333333333331,207.38768211099543
186,15.527272727272726,104.0,13.3,11.82909090909091,241.0909090909091,2.6318181818181814,295.8181818181818,0.2772727272727273,92.54545454545456,202.2799519604556
187,15.75,104.0,13.3,12.02875,245.625,2.7262500000000003,290.375,0.26875,107.5,158.32657320405838
188,15.571428571428571,104.42857142857144,13.3,11.895714285714288,243.8571428571429,2.731428571428572,292.1428571428572,0.2385714285714285,108.28571428571428,181.2769878437969
190,15.544444444444444,105.11111111111111,13.3,11.761111111111113,244.11111111111111,2.8144444444444443,290.44444444444446,0.2255555555555556,91.33333333333331,179.3838693963736
191,15.5,106.9090909090909,13.3,11.891818181818184,242.8181818181818,2.8363636363636364,291.54545454545456,0.2145454545454545,117.0,184.976948910376
192,15.6,108.3,13.3,11.764,245.6,2.8500000000000005,295.6,0.1619999999999999,140.4,138.27849722826272
194,15.6,107.1,13.3,11.775,246.0,2.948,293.0,0.187,101.8,156.50661787786942
195,15.41,107.2,13.3,12.099999999999998,250.0,2.86,292.0,0.25,81.0,207.07414833351868
197,15.327272727272726,107.0909090909091,13.3,11.844545454545454,249.63636363636363,2.8481818181818186,294.8181818181818,0.2490909090909091,89.0909090909091,289.1518824706848
198,15.425,108.625,13.3,11.361249999999998,252.0,2.88875,291.0,0.27875,79.0,272.1260571631103
200,15.470000000000002,107.1,13.3,11.168,253.1,2.894000000000001,292.8,0.286,101.5,279.40632818094923
201,15.52727272727273,107.0909090909091,13.3,10.932727272727274,248.72727272727272,2.972727272727272,288.72727272727275,0.329090909090909,107.0909090909091,285.09692996603667
202,15.4125,106.0,13.3,10.55,248.0,2.97,290.0,0.3,114.0,295.34829982500924
203,15.4875,108.0,13.3,10.1125,248.0,2.90875,291.875,0.22125,113.625,251.50496347546607
204,15.5,108.6,13.3,11.532,238.8,3.01,287.0,0.126,88.2,210.26316101831372
206,15.507692307692311,111.0,13.300000000000002,11.625384615384617,241.46153846153845,2.9369230769230765,290.38461538461536,0.1761538461538461,127.0,228.22775733461333
207,15.29,113.0,13.3,12.35,241.2,3.044,286.0,0.205,131.1,280.4739298369677
208,15.458333333333334,111.25,13.300000000000002,12.571666666666664,244.5833333333333,3.024166666666668,286.5833333333333,0.2633333333333334,138.91666666666666,262.16142977499146
209,15.679999999999998,110.0,13.3,11.434,245.0,2.9330000000000003,289.3,0.246,153.1,198.4616922707694
210,15.81818181818182,109.9090909090909,13.3,12.12,248.9090909090909,3.14,284.0,0.2109090909090909,142.54545454545453,170.71228427661742
211,15.836363636363636,113.63636363636364,13.3,11.791818181818185,247.0,3.137272727272727,284.1818181818182,0.2109090909090909,115.8181818181818,179.74464717115234
213,15.518181818181818,112.54545454545456,13.3,11.196363636363635,250.0909090909091,3.229090909090909,284.8181818181818,0.1036363636363636,146.72727272727272,194.41869105238536
215,15.881818181818184,111.9090909090909,13.3,10.794545454545451,250.45454545454547,3.089090909090909,288.0,0.1290909090909091,104.45454545454544,139.43951187520918
216,15.97,111.1,13.3,10.368,250.6,3.154,288.0,0.214,142.4,143.04802923641057
218,15.8,108.72727272727272,13.3,10.155454545454546,249.72727272727272,2.9845454545454544,291.0,0.4045454545454545,160.63636363636363,201.5837916461329
219,15.650000000000002,107.92857142857144,13.300000000000002,8.75357142857143,250.7142857142857,2.8542857142857145,292.07142857142856,0.3728571428571429,136.85714285714286,260.07748644855565
220,14.609090909090908,116.9090909090909,13.3,10.862727272727271,7.636363636363637,2.898181818181818,343.0,0.1827272727272727,177.54545454545453,327.29474947114704
221,14.500000000000002,115.0909090909091,13.3,10.645454545454545,7.545454545454546,2.848181818181818,342.72727272727275,0.2299999999999999,199.45454545454547,323.2530726667427
223,14.627272727272723,116.45454545454544,13.3,10.118181818181816,11.727272727272728,2.8790909090909094,340.72727272727275,0.2781818181818182,212.3636363636364,279.9006533980671
225,14.425,115.33333333333331,13.300000000000002,9.1325,11.583333333333334,2.8725,337.8333333333333,0.2974999999999999,229.66666666666663,283.6606409815013
226,14.346153846153848,116.92307692307692,13.300000000000002,8.967692307692307,10.692307692307692,2.8253846153846145,336.84615384615387,0.3123076923076923,239.07692307692307,282.51966084650394
227,14.590909090909088,117.45454545454544,13.3,8.691818181818181,8.818181818181818,2.769090909090909,335.3636363636364,0.2727272727272727,256.45454545454544,220.746006399034
229,14.95,119.3,13.3,7.99,2.5,2.749,332.8,0.101,292.6,191.0966905952533
230,14.96923076923077,119.76923076923076,13.300000000000002,7.610769230769232,1.8461538461538465,2.6823076923076927,331.6923076923077,0.0384615384615384,264.2307692307692,213.232871377018
232,14.946666666666667,122.0,13.300000000000004,5.774666666666667,4.866666666666666,2.622,327.8666666666667,0.1293333333333333,199.8,239.5021768224933
233,15.07,121.9,13.3,5.0600000000000005,1.0,2.53,326.0,0.19,202.0,217.77193271834403
234,15.133333333333336,121.08333333333331,13.300000000000002,3.6375000000000006,33.833333333333336,2.523333333333333,323.9166666666667,0.1775,196.5833333333333,209.9856707352991
235,15.184615384615386,120.92307692307692,13.300000000000002,3.170000000000001,351.0,2.45,323.0,0.1499999999999999,181.0,211.48437403761056
236,15.1,115.8181818181818,13.3,3.2909090909090906,348.09090909090907,2.399090909090909,322.09090909090907,0.2045454545454545,182.54545454545453,230.0118261573056
237,15.245454545454548,120.72727272727272,13.3,2.6299999999999994,4.0,2.39,322.0,0.3599999999999999,194.0,210.5458072570143
238,15.52,120.73333333333332,13.300000000000004,2.898,356.53333333333336,2.3040000000000003,321.06666666666666,0.3973333333333333,183.8,186.25666744859632
239,15.183333333333332,120.5,13.300000000000002,3.1766666666666663,356.8333333333333,2.245,320.0,0.1916666666666666,138.0,252.09609902999105
241,14.838461538461535,121.92307692307692,13.199999999999998,3.869999999999999,349.0,2.240000000000001,321.0,0.22,69.0,299.47303522603227
242,14.36923076923077,121.6923076923077,13.199999999999998,3.985384615384615,352.84615384615387,2.1946153846153846,320.0,0.2161538461538461,164.84615384615384,398.37341231591313
243,14.186666666666664,122.86666666666666,13.199999999999996,5.596,3.0,2.376,321.0,0.2833333333333333,203.6,391.62286041605626
244,15.840909090909088,282.77272727272725,10.300000000000004,9.82090909090909,34.45454545454545,3.635454545454546,352.22727272727275,0.1863636363636364,160.3181818181818,315.767191493998
245,15.136363636363637,287.3181818181818,10.300000000000004,8.233636363636363,40.45454545454545,3.64090909090909,354.0,0.1054545454545454,173.36363636363637,489.526099375877
246,15.321052631578944,289.4736842105263,10.300000000000002,8.484736842105265,37.47368421052632,3.6357894736842105,354.0,0.2089473684210526,226.73684210526315,507.574607714142
247,15.611999999999998,290.6,10.3,8.3812,39.36,3.5928000000000004,354.68,0.2504,235.4,465.1207752098111
248,15.664,288.88,10.3,7.8072,44.68,3.5748,356.0,0.2636,241.48,468.74860517783
249,15.738095238095235,289.4761904761905,10.300000000000002,7.56,45.85714285714285,3.562857142857144,356.42857142857144,0.3471428571428571,233.8571428571429,460.2649454245399
250,15.794999999999998,290.1,10.300000000000002,7.417499999999999,47.5,3.5325,357.25,0.3649999999999999,234.75,452.9165498111729
253,16.82,260.2,10.3,5.924,27.2,1.318,79.6,0.068,273.0,133.86390705127246
254,16.533333333333335,262.6666666666667,10.3,6.28,25.0,1.34,73.33333333333333,0.1166666666666666,290.6666666666667,212.0312436381396
255,16.7,263.0,10.3,6.35,25.0,1.36,68.0,0.14,282.0,188.2080565733413
256,16.6,271.0,10.3,6.59,28.0,1.33,67.0,0.19,259.0,232.43260238859693
257,16.7,283.0,10.3,6.84,30.0,1.26,74.0,0.19,249.0,198.8503457669337
258,16.666666666666668,255.3333333333333,10.3,7.0633333333333335,36.333333333333336,1.3066666666666666,72.33333333333333,0.18,285.3333333333333,205.404133437612
259,16.633333333333333,259.3333333333333,10.3,6.796666666666667,41.66666666666666,1.26,74.33333333333333,0.1933333333333333,281.3333333333333,222.4701656258335
260,16.7,261.0,10.3,6.29,46.0,1.21,76.0,0.21,257.0,220.76337781658023
261,16.5,249.0,10.3,7.18,43.5,1.24,73.0,0.1,17.0,149.51171740524956
262,15.7,221.3809523809524,13.200000000000005,11.46404761904762,36.95238095238095,2.855714285714285,51.11904761904762,0.2376190476190476,239.5952380952381,457.0757756765671
263,15.638888888888886,204.13888888888889,13.199999999999998,11.306388888888886,36.583333333333336,2.724444444444445,48.72222222222222,0.2772222222222222,214.52777777777777,489.3430785396455
264,15.928947368421056,200.0,13.199999999999998,11.142631578947368,33.578947368421055,2.903157894736842,50.0,0.4999999999999999,230.31578947368425,493.357632552049
265,16.012820512820515,192.3846153846154,13.2,11.339230769230776,32.15384615384615,2.9692307692307693,50.0,0.5646153846153843,236.0,466.1838732784789
266,16.099999999999998,190.0,13.199999999999996,11.278666666666668,29.33333333333333,3.013333333333334,49.4,0.5519999999999998,229.6,454.5476517313277
267,16.0,192.0,13.2,11.71,27.0,3.07,48.0,0.51,210.0,500.3054780097658
268,16.066666666666666,189.0,13.199999999999998,11.730000000000002,26.33333333333333,3.0966666666666662,47.333333333333336,0.49,206.0,479.4023505810428
269,15.0,216.0,13.2,10.33,29.0,2.870000000000001,39.0,0.59,215.0,331.54898865217274
272,14.466666666666663,214.88888888888889,13.2,10.160000000000002,32.0,2.676666666666667,39.333333333333336,0.6022222222222222,217.11111111111111,434.32699838583153
273,14.657142857142857,215.0,13.2,10.33,32.0,2.6699999999999995,39.0,0.59,219.0,394.3266895689907
274,14.533333333333337,215.44444444444449,13.2,9.71,27.0,2.58,39.0,0.37,202.0,335.13246903886534
275,14.5,219.0,13.2,10.148888888888887,26.22222222222222,2.5544444444444445,38.333333333333336,0.5833333333333334,225.44444444444449,420.1844949438796
277,14.75,212.375,13.2,9.115,21.25,2.435,37.5,0.55125,213.125,363.7710509000469
278,14.744444444444447,212.0,13.2,9.365555555555554,22.0,2.4177777777777774,36.77777777777778,0.5333333333333334,208.22222222222223,357.9713934683804
279,14.854545454545455,213.45454545454547,13.2,9.32090909090909,22.63636363636364,2.3745454545454545,35.63636363636363,0.5309090909090911,196.9090909090909,329.3419738593243
280,14.560000000000002,210.6,13.2,9.010000000000002,24.0,2.311,34.2,0.406,180.0,326.49460615223575
282,14.337500000000002,206.375,13.2,8.94,24.625,2.17625,32.5,0.51625,178.625,406.0907676195793
283,14.52222222222222,197.77777777777777,13.2,8.103333333333333,19.33333333333333,2.02,30.0,0.4833333333333334,168.66666666666666,359.5544705637219
284,14.688888888888888,199.88888888888889,13.2,8.036666666666665,20.0,1.9622222222222223,29.33333333333333,0.538888888888889,163.55555555555554,333.069735997722
286,14.877777777777778,206.11111111111111,13.2,8.194444444444445,13.88888888888889,0.9277777777777776,13.333333333333334,0.4,142.33333333333334,206.38157640659017
287,14.860000000000005,207.9,13.2,8.09,15.0,0.0,0.0,0.0,0.0,146.22055439139456
288,14.854545454545455,207.45454545454547,13.2,8.065454545454546,16.09090909090909,0.0,0.0,0.0,0.0,147.23171348010703
