Model,RMSE,MAE,R2,MAPE(%),Samples
EnsembleModel,2.744566283633396,2.118713130976751,0.8874101603158715,3.7594855325407392,55
Improved_XGBoost,3.1508792768891096,2.645531758948371,0.8516063624117154,4.472993001811039,55
SVM,3.462973953038802,2.809349995710785,0.8207536986230768,4.711876903137319,55
NGBoost,3.4775304421287605,2.8587456740667845,0.8192436204651853,4.845871380570918,55
LightGBM,3.5284855298811553,2.9557791417246375,0.8139076867006542,5.058254243527955,55
XGBoost,3.7346105241198773,3.0177953765318835,0.7915305663666117,5.172286391333723,55
